#BM(C|255),MC(C|255),DESCR(C|4000)
34.4x01,胸壁病损切除术																									,"IG1,手术1,手术1,1"
34.4x02,胸壁部分切除术,"ED1,手术1,手术1,1;KJ1,手术1,手术1,1;PJ1,手术1,手术1,1;QC1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZJ1,手术1,手术1,1"
34.4x03,胸腔镜下胸壁病损切除术,"ED1,手术1,手术1,1;KJ1,手术1,手术1,1;PJ1,手术1,手术1,1;QJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZJ1,手术1,手术1,1"
34.4x03,胸腔镜下胸壁病损切除术																									,"IG1,手术1,手术1,1"
34.5101,胸膜剥脱术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.5200,胸腔镜肺剥离,"EB1,手术1,手术1,1"
34.5901,胸膜部分切除术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;QJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.5902,胸膜病损切除术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.5903,胸膜切除术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.5904,胸腔镜下胸膜病损切除术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.6x00,胸膜划痕术,"EJ1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.6x01,胸膜硬化术,"EJ1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.6x02,胸腔镜下胸膜划痕术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7100,胸壁裂伤缝合术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7101,胸壁清创缝合术,"ED1,手术1,手术1,1;JJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7200,胸廓造口闭合术,"EJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7301,支气管胸膜瘘闭合术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7302,胸壁瘘管闭合术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7303,支气管镜下支气管胸膜瘘修补术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.7401,漏斗胸畸形矫正术,"EB1,手术1,手术1,1;IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
34.7402,胸腔镜下漏斗胸矫正术,"EB1,手术1,手术1,1;IJ1,手术1,手术1,1"
34.7403,胸腔镜下胸廓畸形矫正术,"EB1,手术1,手术1,1;IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
34.8101,横膈病损切除术,"ED1,手术1,手术1,1;GJ1,手术1,手术1,1;HJ1,手术1,手术1,1;IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
34.8102,横膈部分切除术,"ED1,手术1,手术1,1;GJ1,手术1,手术1,1;HJ1,手术1,手术1,1;IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
34.8200,横膈裂伤缝合术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.8301,胸腹瘘管切除术,"ED1,手术1,手术1,1;GJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.8302,胸胃瘘管切除术,"ED1,手术1,手术1,1;GJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.8303,胸肠瘘管切除术,"ED1,手术1,手术1,1;GJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.8500,横膈起搏器置入,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9101,胸腔穿刺抽液术,"EJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9102,胸腔穿刺抽气术,"EJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9103,超声引导下胸腔穿刺术,"EJ1,手术1,手术1,1;GJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9104,CT引导下胸腔穿刺术,"EJ1,手术1,手术1,1"
34.9201,化学胸膜固定术,"EJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
34.9202,胸膜腔药物注射治疗,"EJ1,手术1,手术1,1"
34.9203,胸腔镜下化学胸膜固定术,"ED1,手术1,手术1,1"
34.9300,胸膜修补术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9301,带蒂大网膜胸腔移植术,"EB1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9302,胸腔镜下胸膜修补术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9901,胸腔粘连松解术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9902,胸膜固定术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9903,纵隔松解术,"EC1,手术1,手术1,1"
34.9904,胸腔镜下胸腔粘连松解术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
34.9905,胸腔镜下胸膜固定术,"ED1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
35.0000,闭合性心脏瓣膜切开术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1"
35.0101,主动脉瓣闭式扩张术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0201,二尖瓣闭式扩张术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0301,肺动脉瓣闭式扩张术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0401,三尖瓣闭式扩张术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0501,经导管主动脉瓣植入术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0502,经导管主动脉瓣置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0601,胸腔镜下主动脉瓣生物瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0602,胸腔镜下主动脉瓣机械瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0603,胸腔镜下主动脉瓣成形术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0701,经导管肺动脉瓣植入术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0801,胸腔镜下肺动脉瓣生物瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0802,胸腔镜下肺动脉瓣机械瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0803,胸腔镜下肺动脉瓣成形术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.0900,心脏瓣膜的血管内置换,"FB3,手术1,手术1,1"
35.1000,无置换的开放性心脏瓣膜成形术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1"
35.1101,主动脉瓣成形术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.1201,二尖瓣成形术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.1202,胸腔镜下二尖瓣成形术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.1301,肺动脉瓣成形术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.1401,三尖瓣成形术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.1402,胸腔镜下三尖瓣成形术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2101,主动脉瓣生物瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2201,主动脉瓣机械瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2301,二尖瓣生物瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2302,胸腔镜下二尖瓣生物瓣置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2401,二尖瓣机械瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2402,胸腔镜下二尖瓣机械瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2501,肺动脉瓣生物瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2601,肺动脉瓣机械瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2701,三尖瓣生物瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2702,胸腔镜下三尖瓣生物瓣膜置换术,"FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2801,三尖瓣机械瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.2802,胸腔镜下三尖瓣机械瓣膜置换术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.3101,心脏乳头肌修补术,"FD1,手术1,手术1,诊断,2;FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
35.3201,腱索修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.3202,腱索切断术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.3501,主动脉瓣膜下环切除术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1;PB1,手术1,手术1,1"
35.3901,主动脉窦修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.4101,房间隔造口术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.4201,布莱洛克-汉隆手术,"FD1,手术1,手术1,诊断,2;FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.5000,心脏间隔缺损的假体修补术,"FD2,手术1,手术1,1"
35.5101,卵圆孔未闭假体修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.5201,房间隔缺损闭式封堵术,"FD3,手术1,手术1,1;PB1,手术1,手术1,1"
35.5202,卵圆孔未闭闭式封堵术,"FD3,手术1,手术1,1;PB1,手术1,手术1,1"
35.5301,室间隔缺损假体修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.5501,室间隔缺损闭式封堵术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.5502,心脏室壁瘤封堵术，闭合法,"FM2,手术1,手术1,1"
35.6000,心脏间隔缺损修补术，用组织移植物,"FD2,手术1,手术1,1"
35.6101,房间隔缺损组织补片修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.6102,卵圆孔未闭组织补片修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.6201,室间隔缺损组织补片修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.7000,心脏间隔缺损的其他和未特指的修补术,"FD2,手术1,手术1,1"
35.7101,胸腔镜下房间隔缺损修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.7201,胸腔镜下室间隔缺损修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.7301,胸腔镜下心内膜垫缺损修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8201,完全肺静脉异位引流矫正术,"FD1,手术1,手术1,诊断,2;FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.8301,肺动脉干全部修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8302,肺动脉干全部矫正术伴室间隔缺损假体修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8303,肺动脉干全部修补术伴右室代替肺动脉供血建造术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8304,主动脉-肺动脉间隔缺损修补术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8305,肺动脉干加宽术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8306,主动脉弓离断矫治术,"FE1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8307,完全动脉干矫正术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8308,完全动脉干矫正伴室间隔缺损假体置入术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.8309,共同动脉干矫正术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9101,马斯塔德手术,"FD1,手术1,手术1,诊断,2;FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.9102,心房内调转术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9201,拉斯特里氏手术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9202,REV手术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9301,左心室双出口直视修复术,"FD1,手术1,手术1,诊断,2;FD2,手术1,手术1,1;PB1,手术1,手术1,1"
35.9302,左心室尖-主动脉分流术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9401,方坦手术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9402,改良方坦手术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9501,心脏间隔补片再缝合术,"FD1,手术1,手术1,诊断,2;PB1,手术1,手术1,1"
35.9502,人工瓣膜瓣周漏修补术,"FB2,手术1,手术1,手术2,2;FB3,手术1,手术1,1"
35.9601,经导管肺动脉瓣球囊扩张成形术,"FB3,手术1,手术1,1"
35.9602,经导管主动脉瓣球囊扩张成形术,"FB3,手术1,手术1,1"
35.9603,经导管三尖瓣球囊扩张成形术,"FB3,手术1,手术1,1"
35.9604,经导管二尖瓣球囊扩张成形术,"FB3,手术1,手术1,1"
36.0301,冠状动脉内膜切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.0302,冠状动脉内膜切除伴补片修补术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.0303,冠状动脉血栓切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.0400,冠状动脉内血栓溶解药输注,"FC1,手术2,手术1,手术2,2;FM2,手术1,手术1,1"
36.0601,冠状动脉药物涂层支架置入术,"FM1,手术1,手术1,1"
36.0602,冠状动脉裸支架置入术,"FM1,手术1,手术1,1"
36.0700,药物洗脱冠状动脉支架置入,"FM1,手术1,手术1,1"
36.0701,冠状动脉生物可吸收支架置入术,"FM1,手术1,手术1,1"
36.0901,准分子激光冠状动脉斑块消融术,"FJ1,手术1,手术1,1"
36.1100,一根冠状动脉的(主动脉)冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.1200,二根冠状动脉的(主动脉)冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.1300,三根冠状动脉的(主动脉)冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.1400,四根或以上冠状动脉的(主动脉)冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.1500,单乳房内动脉-冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.1600,双乳房内动脉-冠状动脉旁路移植,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.2x00,动脉植入的心脏血管再形成术,"FC1,手术1,手术1,手术2,2;FC2,手术1,手术1,手术2,2;FC3,手术1,手术1,1;PB1,手术1,手术1,1"
36.3200,其他经心肌的血管再形成术,"FJ1,手术1,手术1,1"
36.3300,内镜下经心肌血管再形成术,"FJ1,手术1,手术1,1"
36.3400,经皮经心肌血管再形成术,"FM2,手术1,手术1,1"
36.3901,心肌细胞移植术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.9100,冠状血管动脉瘤修补术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.9901,冠状动脉肺动脉瘘封堵术,"FD2,手术1,手术1,1"
36.9902,冠状动脉结扎术,"FD1,手术1,手术1,诊断,2;FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
36.9903,冠状动脉瘘修补术,"FD2,手术1,手术1,1;PB1,手术1,手术1,1"
37.0x01,超声引导下心包穿刺引流术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.1101,心肌切开术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.1102,心内膜切开术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.1103,心室切开术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.1104,心房切开术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.1201,心包粘连松解术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2"
37.1202,心包异物取出术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.1203,心包开窗术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.1204,心包切开引流术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.2000,非侵入性程序化电刺激(NIPS),"FM3,手术1,手术1,1"
37.2100,右心导管置入,"FB2,手术2,手术1,手术2,2;FC2,手术2,手术1,手术2,2;FM3,手术1,手术1,1"
37.2200,左心导管置入,"FB2,手术2,手术1,手术2,2;FC2,手术2,手术1,手术2,2;FM3,手术1,手术1,1"
37.2300,联合的右心和左心导管置入,"FB2,手术2,手术1,手术2,2;FC2,手术2,手术1,手术2,2;FM3,手术1,手术1,1"
37.2400,心包活组织检查,"EB1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA2,手术1,手术1,诊断,2"
37.2401,胸腔镜下心包活组织检查,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2"
37.2501,心肌活组织检查,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.2700,心脏标测图,"FM3,手术1,手术1,1"
37.2800,心内超声心动图,"FM2,手术1,手术1,1"
37.2901,希氏束电图,"FM3,手术1,手术1,1"
37.3101,心包剥脱术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.3102,心包部分切除术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.3103,心包病损切除术,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.3104,胸腔镜下心包病损切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3201,心室动脉瘤折叠术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3202,心脏动脉瘤修补术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3301,心房病损切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3302,心脏射频消融术,"FJ1,手术1,手术1,1"
37.3303,心脏微波消融术,"FJ1,手术1,手术1,1"
37.3304,心房部分切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3305,心室病损切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3306,心脏射频消融改良迷宫术,"FJ1,手术1,手术1,1"
37.3307,心肌部分切除术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3308,传导束切断术,"FJ1,手术1,手术1,1"
37.3401,经导管心脏射频消融术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3402,经导管心脏射频消融改良迷宫术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3403,经导管心脏冷冻消融术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3404,经导管心脏化学消融术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3405,经导管心脏微波消融术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3406,经血管心脏三维射频消融术,"FL1,手术1,手术1,诊断,2;FL2,手术1,手术1,1"
37.3501,改良Morrow手术,"FD1,手术1,手术1,诊断,2;FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3502,心室减容术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1"
37.3701,胸腔镜下心房病损切除术,"FJ1,手术1,手术1,1"
37.3702,胸腔镜下心脏射频消融术,"FJ1,手术1,手术1,1"
37.3703,胸腔镜下心脏射频消融改良迷宫术,"FJ1,手术1,手术1,1"
37.3704,胸腔镜下心脏病损切除术,"FJ1,手术1,手术1,1"
37.4100,围绕心脏的心脏假体支持装置植入术,"FJ1,手术1,手术1,1"
37.4901,心包缝合术,"FJ1,手术1,手术1,1"
37.4902,心脏缝合术,"FJ1,手术1,手术1,1"
37.4903,心房折叠术,"FJ1,手术1,手术1,1;PB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.5100,心脏移植术,"AA1,手术1,手术1,1"
37.5400,全部置换心脏系统的其他可置入成分置换或修补术,"FB1,手术1,手术1,1"
37.5500,去除内置的双心室心脏置换系统,"FB1,手术1,手术1,1"
37.6000,植入或置入双心室心脏外置式辅助系统,"FB1,手术1,手术1,1"
37.6101,主动脉球囊反搏置入术,"FB1,手术1,手术1,1;FE1,手术1,手术1,诊断,2"
37.6201,心脏泵置入术,"FB1,手术1,手术1,1"
37.6301,心脏辅助系统置换术,"FB1,手术1,手术1,1;PB1,手术1,手术1,1"
37.6700,置入心脏刺激系统,"FB1,手术1,手术1,1"
37.7000,首次置入导线[电极],"FK2,手术1,手术1,1"
37.7100,首次经静脉入心室置入导线[电极],"FK2,手术1,手术1,1"
37.7200,首次经静脉入心房和心室置入导线[电极],"FK2,手术1,手术1,1;VJ1,手术1,手术1,1"
37.7300,首次经静脉入心房置入导线[电极],"FK2,手术1,手术1,1;VJ1,手术1,手术1,1"
37.7401,心外膜电极置入术,"FK2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.7402,心外膜电极置换术,"FK2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.7501,心脏起搏器电极调整术,"FK2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.7701,心脏电极去除术,"FK2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.7800,暂时性经静脉起搏器系统的置入,"FK2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.7901,心脏起搏器囊袋清创术,"FK2,手术1,手术1,1"
37.7902,心脏起搏器囊袋修补术,"FK2,手术1,手术1,1"
37.8001,心脏起搏器置入术,"FK1,手术1,手术1,1"
37.8101,单腔永久起搏器置入术,"FK1,手术1,手术1,1"
37.8201,频率应答单腔永久起搏器置入术,"FK1,手术1,手术1,1"
37.8301,双腔永久起搏器置入术,"FK1,手术1,手术1,1"
37.8501,单腔永久起搏器置换术,"FK2,手术1,手术1,1"
37.8601,频率应答单腔永久起搏器置换术,"FK2,手术1,手术1,1"
37.8701,双腔永久起搏器置换术,"FK2,手术1,手术1,1"
37.8901,起搏器装置去除术,"FK2,手术1,手术1,1"
37.8902,起搏器装置修复术,"FK2,手术1,手术1,1"
37.8903,起搏器装置调整术,"FK2,手术1,手术1,1"
37.9001,左心封堵术,"FJ1,手术1,手术1,1"
37.9100,开胸心脏按摩,"EC1,手术1,手术1,1;FJ1,手术1,手术1,1;PB1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
37.9401,心脏除颤器置入术,"FK3,手术1,手术1,1"
37.9402,自动心脏复律器置入术,"FK3,手术1,手术1,1"
37.9403,心脏除颤器置换术,"FK3,手术1,手术1,1"
37.9404,自动心脏复律器置换术,"FK3,手术1,手术1,1"
37.9901,左心耳结扎术,"FJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
38.0000,血管切开术,"FF2,手术1,手术1,1"
